Priorität;Firma;Kategorie;Ansprechpartner;Telefon;Email;PLZ;Ort;Gesprächsaufhänger;Notiz
A;Gartenbautechnischer Dienst (GTL);Kommune;;08382 918-444;gtl@lindau.de;88131;Lindau (Bodensee);Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Kobarg Garten- und Landschaftsbau;Privat (GaLaBau);;04342 2435;info@kobarg-galabau.de;24250;Loeptin;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Pflasterarbeiten, Wegebau, Gartengestaltung (seit 1985)
A;Korte Garten- & Landschaftsbau;Privat (GaLaBau);;04740 1411965;info@korte-gartenbau.com;27612;Loxstedt;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Pflasterarbeiten, Terrassen, Dachbegruenung (Bremen-Cuxhaven)
A;Fachbereich Tiefbau und Grünflächen;Kommune;;07141 910-2809;gruenflaechen@ludwigsburg.de;71638;Ludwigsburg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Lang Garten- und Landschaftsbau GmbH;Privat (GaLaBau);;07141 53494;info@galabau-lang.de;71642;Ludwigsburg;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Dachgärten, Wege und Zufahrten, Terrassen, Pflasterarbeiten
A;Bereich Stadtgruen und Verkehr;Kommune;;0451 122-6701;stadtgruen.verkehr@luebeck.de;23539;Luebeck;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Gruenflaechenamt der Stadt Lueneburg;Kommune;Peter Zurheide;04131 309-496;peter.zurheide@stadt.lueneburg.de;21335;Lueneburg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Eigenbetrieb Stadtgarten und Friedhoefe (SFM);Kommune;Stefan Matz (BL);0391 / 7368-3;sfm@magdeburg.de;39110;Magdeburg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;THOR GaLaBau GmbH & Co. KG;Privat (GaLaBau);;06182 / 8249250;info@thor-galabau.com;63533;Mainhausen;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Pflasterarbeiten, Terrassen, Einfahrten, Außenanlagen, Großprojekte Rhein-Main
A;Grün- und Umweltamt (Amt 67);Kommune;;06131 / 12-2850;gruen-und-umweltamt@stadt.mainz.de;55131;Mainz;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;SENA Garten- und Landschaftsbau;Privat (GaLaBau);;0177 / 7589166;info@sena-galabau.de;55118;Mainz;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Pflasterarbeiten, Natursteinarbeiten, Gartenpflege
A;R. Schmitt GmbH & Co. KG;Privat (GaLaBau);Dominik Stark (GF);0621 / 741307;info@r-schmitt-galabau.de;68169;Mannheim;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Pflasterarbeiten, Wegebau, Terrassen, Einfahrten, Großflächenpflege, Spezialmaschinen
A;Seitz Garten- und Landschaftsbau GmbH & Co. KG;Privat (GaLaBau);Jochen Seitz (GF);0621 / 736184;info@seitz-gartenbau.de;68259;Mannheim;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau, Pflasterarbeiten, Poolbau, Terrassen, Privatgärten und Gewerbeanlagen; seit 1845"
A;Fachdienst 67 -- Stadtgrün, Friedhöfe & Grünservice;Kommune;;06421 / 201-6700;gruenflaechen@marburg-stadt.de;35037;Marburg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Fachbereich Grünflächen;Kommune;;02365 99-0;info@marl.de;45768;Marl;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Stadtbauamt, Abteilung Gruenflaechen;Kommune;;02651 88-0;info@mayen.de;56727;Mayen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Bodensee GalaBau GmbH & Co. KG;Privat (GaLaBau);;07542 2918606;info@bodensee-galabau.de;88074;Meckenbeuren;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Pflasterarbeiten, Wegebau, Gartengestaltung
A;Garten- und Friedhofsamt;Kommune;;08331 850-551;gartenamt@memmingen.de;87700;Memmingen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Bereich Stadtgrün und Friedhöfe;Kommune;;0571 89-0;info@minden.de;32423;Minden;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Fachbereich Grünflächen und Umwelt;Kommune;;02841 201-0;info@moers.de;47441;Moers;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;mags AöR (Abfall-, Grün- und Straßenbetriebe);Kommune;;02161 25-6810;info@mags.de;41063;Mönchengladbach;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Plum Garten + Landschaft GmbH;Privat (GaLaBau);Sebastian Osthaus;02166 989-4560;info@plum-galabau.de;41189;Mönchengladbach;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Pflasterarbeiten, Außenanlagen Wohnanlagen/Schulen/Gewerbe, überregional (MG/KR/D/K)
A;Amt für Grünflächen und Umwelt;Kommune;;0208 455-0;info@muelheim-ruhr.de;45468;Mülheim an der Ruhr;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Baureferat Gartenbau;Kommune;;089 233-60350;baureferat@muenchen.de;81671;München;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Sammer GaLaBau e. K.;Privat (GaLaBau);;089 127373;info@sammer-galabau.de;80995;München (Auf den Schrederwiesen 12);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Garten- und Landschaftsbau, Pflasterarbeiten, Grünpflege
A;Schleitzer baut Gärten creativ & innovativ GmbH;Privat (GaLaBau);;089 892865;erlebnisgarten@schleitzer.de;80999;München (Enterstr. 23);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartendesign, Teichbau, Pflanzarbeiten, Pflasterarbeiten
A;Frank Schulz Galabau;Privat (GaLaBau);;089 15891680;info@schulz-gala.de;80995;München (Kaiserhölzlstr. 43c);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartenplanung, Neuanlage, Pflege, Pflasterarbeiten
A;Deutschmann Garten- und Landschaftsbau GmbH;Privat (GaLaBau);Patrick Ruwolt (GF);089 800488-05;mail@galabau-deutschmann.de;81249;München (Lochhausener Str. 201);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gewerbliche und öffentliche Projekte, Pflasterarbeiten, Natursteinarbeiten, Außenanlagen
A;Kolhöfer GaLaBau GmbH & Co. KG;Privat (GaLaBau);;089 886776;info@kolhoefer.de;81241;München (Schlagweg 12);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Natursteinarbeiten, Holzterrassen, Außenanlagen, Schwimm- und Gartenteiche
A;Münchner Galabau GmbH;Privat (GaLaBau);;089 244187110;info@muenchnergalabau.de;80339;München (Trappentreustr. 38);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Natursteinarbeiten, Holzterrassen, Außenanlagen, Gartenteiche
A;Amt für Grünflächen, Umwelt und Nachhaltigkeit;Kommune;;0251 492-6811;umwelt@stadt-muenster.de;48155;Münster;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Peter Rose Garten- und Landschaftsbau GmbH;Privat (GaLaBau);Peter Rose;02533 4765;info@rose-galabau.de;48161;Münster;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau für Gewerbe/öffentliche Hand, Schulhöfe, Parks, Pflasterarbeiten, Wegebau
A;Fachdienst Tiefbau und Gruenflaechen;Kommune;Monika Eden;04321 942-2704;;24539;Neumuenster;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Servicebetriebe Neuwied, Gruenpflege;Kommune;;02631 802-600;info@neuwied.de;56564;Neuwied;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Servicebetrieb Öffentlicher Raum (SÖR) / Grünflächenamt;Kommune;;0911 231-4860;GBA@stadt.nuernberg.de;90471;Nürnberg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Brunner Garten- und Landschaftsbau;Privat (GaLaBau);;0911 3008950;info@gala-brunner.de;90425;Nürnberg;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Pflaster, Naturstein, Bepflanzung
A;Gries Pflasterbau und Hochbau GmbH;Privat (GaLaBau);;0911 303636;info@gries-pflaster-bau.de;90427;Nürnberg;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Pflasterbau, Hochbau, Betonsteinpflaster, Natursteinpflaster
A;Albrecht Bühler Baum und Garten GmbH;Privat (GaLaBau);;07022 36060;info@baum-und-garten.de;72622;Nürtingen;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Baumpflege, Pflasterarbeiten, Wegebau, Außenanlagen (60+ MA)
A;Servicebetriebe Oberhausen (SBO) – Grün;Kommune;;0208 825-3601;info@oberhausen.de;46145;Oberhausen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Eumann Garten- und Landschaftsbau GmbH;Privat (GaLaBau);;0208 20-8256;info@gala-bau-nrw.de;46117;Oberhausen;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau, Pflaster, Terrassen, Gartengestaltung, Baumpflege; Inh.: Matthias Eumann"
A;Wieschenkämper Garten- und Landschaftsbau;Privat (GaLaBau);;0208 8848781;info@wieschenkaemper-galabau.de;46119;Oberhausen;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau, Pflaster, Baumpflege, Gartenpflege, Friedhofsgärtnerei; Inh.: Thomas Wieschenkämper"
A;Garten- und Landschaftsbau Seufert GmbH & Co. KG;Privat (GaLaBau);;09367 99177;info@landschaftsbau-seufert.de;97241;Oberpleichfeld (Raum Schweinfurt/Würzburg);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Landschaftsgestaltung, Pflaster, Bepflanzung
A;AF-Bauwerk;Privat (GaLaBau);;0172 4685024;info@af-bauwerk.de;85764;Oberschleißheim (Klosterwiese 6);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Pflasterarbeiten, Gartengestaltung, Kabeltiefbau, Poolbau
A;Planta Garten- und Landschaftsbau;Privat (GaLaBau);Michael Sieber;02268 3448;info@planta-galabau.de;51519;Odenthal;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Pflasterarbeiten, Terrassen, Wegebau, Gruenpflege
A;Amt für Grünwesen / Stadtwerke Offenbach;Kommune;;069 / 8065-3458;planen-bauen@offenbach.de;63075;Offenbach am Main;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Abt. Grünflächen und Umweltschutz;Kommune;Stefanie Birk;0781 82-2514;stadt@offenburg.de;77652;Offenburg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Grünflächenamt;Kommune;;03301 600-775;info@oranienburg.de;16515;Oranienburg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Osnabruecker ServiceBetrieb (OSB) - Stadtgruen;Kommune;;0541 / 323-3300;osb@osnabrueck.de;49090;Osnabrueck;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Amt für Umweltschutz und Grünflächen;Kommune;;05251 88-0;umweltamt@paderborn.de;33098;Paderborn;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Grünflächen- und Tiefbauamt;Kommune;;07231 39-2451;poststelle@stadt-pforzheim.de;75175;Pforzheim;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Abt. Grünflächen und Ökologie;Kommune;;0751 82-3850;umwelt@ravensburg.de;88212;Ravensburg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Fachbereich Stadtgrün;Kommune;;02361 50-0;info@recklinghausen.de;45657;Recklinghausen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Technische Betriebe Remscheid, Fachdienst Gruenflaechen;Kommune;;02191 16-3794;gruenflaechen@remscheid.de;42855;Remscheid;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Amt für Tiefbau, Grünflächen und Umwelt;Kommune;;07121 303-0;tgu@reutlingen.de;72764;Reutlingen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Lutz + Riepert GmbH Gartengestaltung;Privat (GaLaBau);;07121 90973;info@lutz-riepert.de;72760;Reutlingen;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Pflasterarbeiten, Wegebau, Terrassen (gegr. 1924)
A;Amt für Stadtgrün, Naturschutz und Friedhofswesen;Kommune;;0381 381-8500;stadtgruen@rostock.de;18059;Rostock;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Amt für Stadtgrün und Friedhöfe (Amt 67);Kommune;;0681 / 905-1383;stadtgruen_und_friedhoefe@saarbruecken.de;66111;Saarbrücken;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Staedtischer Regiebetrieb (SRB) - Bereich Gruen;Kommune;Frank Kalberlah;05341 / 839-3985;frank.kalberlah@stadt.salzgitter.de;38226;Salzgitter;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Fachbereich Tiefbau und Gruenflaechen;Kommune;;02241 243-0;info@sankt-augustin.de;53757;Sankt Augustin;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Gartenamt;Kommune;Thomas Sturm;09122 29-3633;;91126;Schwabach;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Gabinus Graf GaLaBau GbR;Privat (GaLaBau);;08138 667379;info@galabaugraf.de;85247;Schwabhausen b. Dachau (Münchener Str. 37);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Pflasterarbeiten, Außenanlagen, Gartengestaltung
A;Grünflächenamt;Kommune;;07171 603-0;stadtverwaltung@schwaebisch-gmuend.de;73525;Schwäbisch Gmünd;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Seeger Landschaftsbau GmbH & Co. KG;Privat (GaLaBau);;08364 9339;info@seeger-landschaftsbau.de;87637;Seeg (Hauptstr. 5);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartendesign, Pflasterarbeiten, Natursteinarbeiten (Allgäu)
A;Fachbereich Stadtgruen und Umwelt;Kommune;;02241 102-0;info@siegburg.de;53721;Siegburg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Gruenflaechenamt der Stadt Siegen;Kommune;;0271 404-1228;gruenflaechen@siegen.de;57074;Siegen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Grünflächenamt (Stadtplanungsamt);Kommune;;07031 94-0;stadt@sindelfingen.de;71063;Sindelfingen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Technische Betriebe Solingen, Stadtgruen;Kommune;;0212 290-3333;natur-umwelt@solingen.de;42697;Solingen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Naturschutzamt des Landkreises Stade;Kommune;;04141 12-6741;naturschutz@landkreis-stade.de;21682;Stade;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Jakob Breuer Garten- und Landschaftsbau;Privat (GaLaBau);;02423 107817;info@galabau-vonmeer.de;52224;Stolberg;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Pflasterarbeiten, Wegebau, Erdarbeiten, Zaunbau, Gartengestaltung
A;Amt für Umwelt- und Naturschutz / Abt. Grün- und Parkanlagen;Kommune;;03831 252-855;info@stralsund.de;18439;Stralsund;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Stadtgärtnerei;Kommune;Jörg Bar;09421 8445-12;;94315;Straubing;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Garten-, Friedhofs- und Forstamt;Kommune;Karola Ortmann (Amtsleitung);0711 216-93801;Poststelle.67@stuttgart.de;70192;Stuttgart;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Braun Garten- und Landschaftsbau GmbH;Privat (GaLaBau);;0711 873305;info@braungalabau.de;70437;Stuttgart;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Pflasterarbeiten, Wegebau, Terrassenbau, Außenanlagen (Familienunternehmen 60+ Jahre)
A;Schwaben GaLaBau;Privat (GaLaBau);;0176 41067718;Info@schwaben-galabau.de;70197;Stuttgart;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Pflasterarbeiten, Treppenbau, Gartengestaltung, Baumfällung
A;Gaxherri Garten- und Landschaftsbau;Privat (GaLaBau);;0711 12155171;info@gaxherri-galabau.de;70499;Stuttgart;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Pflasterbau, Erdarbeiten, Baumarbeiten, Grünpflege, Gartengestaltung
A;Roland Oberer Garten- und Landschaftsbau GmbH (GarLa);Privat (GaLaBau);;07454 9809190;info@oberer-garten.de;72172;Sulz am Neckar;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Wegebau, Pflasterarbeiten, öffentliche und gewerbliche Projekte (45 MA)
A;Hubert Fischer Garten- und Landschaftsbau GmbH;Privat (GaLaBau);;08053 3340;info@hubertfischer-garten.de;83139;Söchtenau (Hauptstr. 29);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Pflasterarbeiten, Natursteinarbeiten (Raum Rosenheim)
A;GarLa Gruppe (Dachgesellschaft);Privat (GaLaBau);Achim Off (CEO);07141 64255;info@garla-gruppe.com;71732;Tamm;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau-Unternehmensgruppe, 1.040+ MA, 23 Standorte, Wegebau, Pflasterarbeiten, Außenanlagen
A;Bietigheimer Gartengestaltung GmbH (GarLa);Privat (GaLaBau);Jürgen Kunze (GF);07141 64255;info@bietigheimer-gartengestaltung.de;71732;Tamm;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Garten- und Landschaftsbau, Pflasterarbeiten, Wegebau, Außenanlagen (100+ MA)
A;GaLaBau Waloch (Gartenprojekte Waloch);Privat (GaLaBau);;04101 805-7122;info-gartenprojekte@waloch.de;25499;Tangstedt;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Terrassen, Pflasterarbeiten, Wegebau, Gartengestaltung
A;Biermann Garten- und Landschaftsbau GmbH;Privat (GaLaBau);;04101 25624;info@biermanngaerten.de;25499;Tangstedt;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Pflasterarbeiten, Wegebau, Friedhofsgaertnerei
A;Storjohann GaLaBau;Privat (GaLaBau);;0176 84134838;info@storjohann-galabau.de;25436;Tornesch;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Pflasterarbeiten, Terrassen, Schuettgueter, Zaunbau
A;StadtRaum Trier, Abteilung StadtGruen;Kommune;;0651 718-4100;stadtraum@trier.de;54294;Trier;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Landschaftsbau Schneider GmbH und Co. KG;Privat (GaLaBau);;0651 88066;info@landschaftsbau-schneider.de;54294;Trier;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Pflasterarbeiten, Wegebau, Terrassen, Natursteinarbeiten
A;Tiefbau- und Gruenflaechenamt;Kommune;;02241 900-0;rathaus@troisdorf.de;53840;Troisdorf;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;KALTEIS Garten- und Landschaftsbau GmbH und Co. KG;Privat (GaLaBau);Martin Kalteis;02241 407143;info@galabau-kalteis.de;53842;Troisdorf;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Wegebau, Pflasterarbeiten, Terrassen, Gartengestaltung, Gruenpflege
A;Grünflächenamt;Kommune;;07071 204-0;info@tuebingen.de;72074;Tübingen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Per Schönig Garten- und Landschaftsbau;Privat (GaLaBau);;07071 252851;info@schoenig-gartenbau.de;72072;Tübingen;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartenbau, Gartenpflege, Grünflächenpflege, Wegebau, Baumfällung
A;Staats GaLaBau (Andreas Staats e.K.);Privat (GaLaBau);;05173 / 9269192;anfragen@staats-galabau.de;31311;Uetze;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Strassenbau, Wegebau, Kanalbau, Sportplatzbau, Region H/PE/GF/CE/BS
